timestamp,tx,ty,tz
0.00, -0.43365, -0.22532, -0.25801
0.10, -0.44400, -0.21076, -0.27187
0.20, -0.42931, -0.23113, -0.27029
0.30, -0.43382, -0.20069, -0.26913
0.40, -0.45497, -0.20439, -0.28064
0.50, -0.43190, -0.17612, -0.29319
0.60, -0.46429, -0.19378, -0.28262
0.70, -0.44220, -0.16089, -0.27855
0.80, -0.46177, -0.15301, -0.29490
0.90, -0.45573, -0.14522, -0.26971
1.00, -0.45151, -0.13248, -0.25938
1.10, -0.45040, -0.13295, -0.24880
1.20, -0.44118, -0.11018, -0.27689
1.30, -0.44450, -0.11278, -0.26713
1.40, -0.45697, -0.09974, -0.27153
1.50, -0.44910, -0.09759, -0.28132
1.60, -0.45295, -0.09546, -0.25768
1.70, -0.44830, -0.06941, -0.25828
1.80, -0.44091, -0.04358, -0.26668
1.90, -0.46272, -0.04092, -0.26084
2.00, -0.43151, -0.03720, -0.25459
2.10, -0.42826, -0.03679, -0.24744
2.20, -0.42182, -0.03285, -0.21126
2.30, -0.43226, 0.00210, -0.23361
2.40, -0.41917, -0.02950, -0.24182
2.50, -0.41048, -0.01223, -0.22191
2.60, -0.41618, -0.01350, -0.23652
2.70, -0.40154, -0.00703, -0.21627
2.80, -0.39874, -0.00049, -0.21605
2.90, -0.39709, 0.03129, -0.21329
3.00, -0.36694, 0.02423, -0.19861
3.10, -0.36199, 0.01229, -0.19295
3.20, -0.35112, 0.04322, -0.20252
3.30, -0.35557, 0.03961, -0.17804
3.40, -0.33685, 0.03620, -0.18897
3.50, -0.33392, 0.02167, -0.19010
3.60, -0.30371, 0.04790, -0.18198
3.70, -0.33374, 0.03678, -0.16643
3.80, -0.31448, 0.04585, -0.18219
3.90, -0.29941, 0.05480, -0.17393
4.00, -0.31469, 0.05507, -0.17250
4.10, -0.29474, 0.07221, -0.15282
4.20, -0.28534, 0.04931, -0.14765
4.30, -0.29967, 0.07119, -0.13433
4.40, -0.25588, 0.05807, -0.14943
4.50, -0.27512, 0.05159, -0.13292
4.60, -0.26597, 0.06930, -0.13878
4.70, -0.26689, 0.05812, -0.13171
4.80, -0.24149, 0.05767, -0.12641
4.90, -0.22633, 0.05222, -0.12400
5.00, -0.22834, 0.06494, -0.12256
5.10, -0.22163, 0.04285, -0.10910
5.20, -0.23417, 0.07638, -0.11904
5.30, -0.21955, 0.07048, -0.12432
5.40, -0.21381, 0.07373, -0.10806
5.50, -0.19536, 0.05600, -0.09681
5.60, -0.19356, 0.07078, -0.09547
5.70, -0.17352, 0.06179, -0.11212
5.80, -0.18348, 0.05150, -0.09116
5.90, -0.16872, 0.04692, -0.08258
6.00, -0.15990, 0.04930, -0.07747
6.10, -0.14821, 0.07243, -0.09592
6.20, -0.16342, 0.04146, -0.07242
6.30, -0.15225, 0.04525, -0.08612
6.40, -0.13606, 0.05429, -0.07341
6.50, -0.13907, 0.04801, -0.04342
6.60, -0.11553, 0.03897, -0.06951
6.70, -0.11220, 0.04125, -0.05264
6.80, -0.10887, 0.03943, -0.05749
6.90, -0.11337, 0.03578, -0.03310
7.00, -0.09018, 0.03858, -0.06104
7.10, -0.09282, 0.05575, -0.04337
7.20, -0.08337, 0.01945, -0.05749
7.30, -0.06554, 0.02987, -0.03758
7.40, -0.06890, 0.03559, -0.02794
7.50, -0.06668, 0.02255, -0.02724
7.60, -0.07540, 0.02943, -0.02559
7.70, -0.04648, 0.00198, -0.02839
7.80, -0.05446, 0.02240, -0.03368
7.90, -0.03451, 0.01582, -0.01133
8.00, -0.03659, 0.01161, -0.01667
8.10, -0.02149, 0.00584, -0.01853
8.20, -0.01711, 0.00818, -0.00740
8.30, -0.01196, 0.00808, -0.00966
8.40, -0.01302, -0.01332, -0.00277
8.50, -0.02445, 0.00038, 0.00479
8.60, 0.00229, 0.00549, 0.00482
8.70, -0.01838, -0.00921, 0.02074
8.80, 0.00650, -0.02920, 0.00869
8.90, 0.03750, -0.01785, 0.02580
9.00, 0.02324, -0.02051, 0.00458
9.10, 0.01965, -0.00217, 0.01111
9.20, 0.03587, 0.00241, 0.00446
9.30, 0.04240, -0.01958, 0.04067
9.40, 0.03579, -0.02829, 0.02176
9.50, 0.06483, -0.02645, 0.01788
9.60, 0.06097, -0.02516, 0.03820
9.70, 0.05661, -0.03101, 0.01505
9.80, 0.06535, -0.02652, 0.04296
9.90, 0.07738, -0.02692, 0.04675
